frame,track_id,x1,y1,x2,y2
1,1,794,470,864,566
1,2,431,160,467,227
1,3,839,187,873,247
1,4,392,422,457,500
1,5,140,266,190,347
1,6,1086,345,1137,443
1,7,704,82,733,128
1,8,887,124,913,177
1,9,370,154,405,217
1,10,721,195,757,262
1,11,1134,253,1181,338
1,12,1239,146,1269,210
1,13,532,428,581,520
1,14,559,94,582,145
1,16,638,221,662,296
1,17,494,430,540,519
2,1,804,467,872,562
2,2,442,160,478,227
2,3,846,187,880,248
2,4,399,421,463,498
2,5,152,265,202,347
2,6,1092,344,1143,441
2,7,716,83,744,128
2,8,897,125,923,177
2,9,381,155,416,216
2,10,728,194,763,262
2,11,1143,255,1189,339
2,12,1249,147,1279,211
2,13,530,428,578,518
2,14,570,95,593,145
2,17,494,431,540,520
3,1,812,465,880,559
3,2,454,160,490,227
3,3,857,187,891,248
3,4,404,419,469,499
3,5,162,264,213,347
3,6,1096,344,1146,439
3,7,727,83,756,128
3,8,908,125,933,176
3,9,393,155,428,216
3,10,736,194,772,263
3,11,1151,256,1196,340
3,12,1258,152,1280,212
3,13,530,429,577,517
3,14,580,95,604,146
3,17,497,432,540,515
3,21,513,453,534,519
4,1,822,463,887,553
4,2,468,161,503,226
4,3,869,185,903,248
4,4,411,417,477,499
4,5,173,264,223,347
4,6,1086,343,1137,439
4,7,740,83,767,127
4,8,920,125,945,176
4,9,407,155,442,216
4,10,747,193,783,264
4,11,1158,257,1203,340
4,13,531,429,576,515
4,14,593,96,617,146
4,17,500,434,541,514
5,1,832,462,892,546
5,2,481,161,516,226
5,3,880,185,915,249
5,4,422,416,488,498
5,5,182,265,233,347
5,6,1086,344,1137,440
5,7,752,82,779,128
5,8,933,125,958,176
5,9,420,154,454,216
5,10,757,192,795,265
5,11,1167,257,1211,340
5,13,531,428,578,517
5,14,606,97,630,147
5,17,499,434,538,510
6,1,837,460,899,545
6,2,493,160,528,226
6,3,890,185,925,249
6,4,428,414,495,499
6,5,191,266,240,347
6,6,1090,346,1140,441
6,7,764,83,791,128
6,8,945,124,971,178
6,9,432,154,465,215
6,10,768,193,805,266
6,11,1178,257,1222,340
6,13,537,427,583,516
6,14,620,97,643,146
6,17,501,436,536,500
6,21,509,437,535,516
7,1,845,458,907,544
7,2,504,159,540,225
7,3,900,185,936,249
7,4,433,413,502,499
7,5,198,266,247,346
7,6,1097,348,1145,442
7,7,777,83,803,127
7,8,958,124,984,178
7,9,443,154,476,214
7,10,780,194,817,266
7,11,1189,256,1233,340
7,13,541,424,588,515
7,14,632,97,656,146
7,19,708,224,733,298
7,21,509,438,536,518
8,1,853,455,917,544
8,2,515,159,551,225
8,3,911,185,948,249
8,4,439,412,507,497
8,5,205,266,253,346
8,6,1109,348,1156,438
8,7,790,83,816,127
8,8,970,124,997,179
8,9,454,154,486,215
8,10,791,195,827,266
8,11,1199,255,1244,341
8,13,548,420,595,513
8,14,644,96,668,146
8,19,720,224,746,298
8,21,511,440,539,520
